City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Hasaki,35.7333,140.8333,55.29,33,70,15.99,JP,2021-12-13 03:21:21,broken clouds
1,Tasiilaq,65.6145,-37.6368,33.96,94,100,4.65,GL,2021-12-13 03:21:21,overcast clouds
2,Sandpoint,48.2766,-116.5533,34.68,90,90,4.61,US,2021-12-13 03:21:21,overcast clouds
3,Mahebourg,-20.4081,57.7,79.25,78,75,6.91,MU,2021-12-13 03:21:22,broken clouds
4,Busselton,-33.65,115.3333,68.23,39,100,5.41,AU,2021-12-13 03:21:22,overcast clouds
5,Mataura,-46.1927,168.8643,61.48,33,15,6.89,NZ,2021-12-13 03:21:23,few clouds
6,Bluff,-46.6,168.3333,61.81,73,49,14.9,NZ,2021-12-13 03:20:33,scattered clouds
7,Jamestown,42.097,-79.2353,38.79,55,1,8.01,US,2021-12-13 03:21:23,clear sky
8,Samana,19.2056,-69.3369,74.8,89,40,8.99,DO,2021-12-13 03:21:23,scattered clouds
9,Castro,-24.7911,-50.0119,65.41,81,97,6.53,BR,2021-12-13 03:21:24,overcast clouds
10,Pimenta Bueno,-11.6725,-61.1936,74.91,98,100,3.22,BR,2021-12-13 03:21:24,light rain
11,Marshall,34.3834,-86.3333,43.38,68,1,4.61,US,2021-12-13 03:20:55,clear sky
12,New Norfolk,-42.7826,147.0587,82.65,26,0,3.0,AU,2021-12-13 03:21:24,clear sky
13,Geraldton,-28.7667,114.6,79.21,44,0,13.8,AU,2021-12-13 03:19:40,clear sky
14,Ushuaia,-54.8,-68.3,40.66,65,75,23.02,AR,2021-12-13 03:16:39,broken clouds
15,Wurzen,51.3667,12.7333,42.89,98,100,6.38,DE,2021-12-13 03:21:25,overcast clouds
16,Albany,42.6001,-73.9662,40.08,52,0,3.0,US,2021-12-13 03:19:58,clear sky
17,Mwinilunga,-11.7358,24.4293,61.2,98,92,3.98,ZM,2021-12-13 03:21:25,overcast clouds
18,Puerto Ayora,-0.7393,-90.3518,68.56,96,88,1.01,EC,2021-12-13 03:21:26,overcast clouds
19,Tromso,69.6496,18.957,33.82,80,75,1.99,NO,2021-12-13 03:21:26,light snow
20,Butaritari,3.0707,172.7902,82.09,76,19,15.19,KI,2021-12-13 03:21:26,few clouds
21,Luderitz,-26.6481,15.1594,59.99,82,4,11.65,NA,2021-12-13 03:21:27,clear sky
22,Kapaa,22.0752,-159.319,80.58,75,40,4.0,US,2021-12-13 03:21:27,scattered clouds
23,Kodiak,57.79,-152.4072,11.71,57,40,19.57,US,2021-12-13 03:21:28,scattered clouds
24,Longyearbyen,78.2186,15.6401,31.84,80,40,24.16,SJ,2021-12-13 03:19:37,scattered clouds
25,Nishihara,26.1842,127.7558,67.28,73,75,25.32,JP,2021-12-13 03:21:29,broken clouds
26,Gerash,27.6652,54.1371,37.54,31,2,3.2,IR,2021-12-13 03:21:29,clear sky
27,Port Alfred,-33.5906,26.891,72.23,93,100,13.76,ZA,2021-12-13 03:21:30,overcast clouds
28,Rikitea,-23.1203,-134.9692,77.22,78,82,8.03,PF,2021-12-13 03:21:30,light rain
29,Sitka,57.0531,-135.33,35.49,55,75,5.75,US,2021-12-13 03:21:30,broken clouds
30,Tuatapere,-46.1333,167.6833,61.83,54,56,8.03,NZ,2021-12-13 03:21:31,broken clouds
31,Georgetown,5.4112,100.3354,85.93,71,20,4.61,MY,2021-12-13 03:16:33,few clouds
32,Cape Town,-33.9258,18.4232,64.09,84,0,3.0,ZA,2021-12-13 03:21:28,clear sky
