City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Hasaki,JP,55.29,35.7333,140.8333,broken clouds,Hotel Sunrise Choshi
3,Mahebourg,MU,79.25,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
4,Busselton,AU,68.23,-33.65,115.3333,overcast clouds,Observatory Guest House
5,Mataura,NZ,61.48,-46.1927,168.8643,few clouds,Ellie's Villa
6,Bluff,NZ,61.81,-46.6,168.3333,scattered clouds,Bluff Homestead - Guesthouse & Campervan Park
8,Samana,DO,74.8,19.2056,-69.3369,scattered clouds,The Bannister - Hotel & Yacht Club
9,Castro,BR,65.41,-24.7911,-50.0119,overcast clouds,CHACARA BAILLY
10,Pimenta Bueno,BR,74.91,-11.6725,-61.1936,light rain,Cristalina Palace Hotel
13,Geraldton,AU,79.21,-28.7667,114.6,clear sky,Broadwater Mariner Resort
17,Mwinilunga,ZM,61.2,-11.7358,24.4293,overcast clouds,Kwakuwahi Lodge
18,Puerto Ayora,EC,68.56,-0.7393,-90.3518,overcast clouds,Finch Bay Galapagos Hotel
21,Luderitz,,59.99,-26.6481,15.1594,clear sky,LÜDERITZ NEST HOTEL
25,Nishihara,JP,67.28,26.1842,127.7558,broken clouds,Minshuku Agaihama
27,Port Alfred,ZA,72.23,-33.5906,26.891,overcast clouds,The Halyards Hotel
28,Rikitea,PF,77.22,-23.1203,-134.9692,light rain,People ThankYou
30,Tuatapere,NZ,61.83,-46.1333,167.6833,broken clouds,Ron and Tony's Bed & Breakfast
32,Cape Town,ZA,64.09,-33.9258,18.4232,clear sky,Southern Sun Waterfront Cape Town
35,Port Elizabeth,ZA,70.09,-33.918,25.5701,light rain,39 On Nile Guest House
37,Namibe,AO,69.55,-15.1961,12.1522,overcast clouds,Hotel Chik Chik Namibe
40,Carnarvon,AU,78.87,-24.8667,113.6333,clear sky,Hospitality Carnarvon
46,Mount Gambier,AU,72.19,-37.8333,140.7667,light rain,The Commodore
48,Lodwar,KE,78.8,3.1191,35.5973,overcast clouds,Solmar Gracious Hotel
49,Caxias,PT,56.48,38.7031,-9.2767,clear sky,Hotel Real Oeiras
53,Plettenberg Bay,ZA,65.12,-34.0527,23.3716,light rain,Thanda Vista B&B
56,Candolim,IN,79.83,15.5181,73.7626,overcast clouds,Resort Terra Paraiso
58,Lata,PT,56.91,40.1629,-8.3327,clear sky,Casa Maquia
63,Villa Bruzual,VE,76.53,9.3328,-69.1208,clear sky,hotel italia
64,Bandarbeyla,SO,75.25,9.4942,50.8122,clear sky,JABIR HOTEL
68,Bikaner,IN,59.2,28.0167,73.3,broken clouds,Karina Guest House
69,Teknaf,BD,72.73,20.8624,92.3058,clear sky,Forestry Guesthouse
73,Tura,IN,67.19,25.5198,90.2201,clear sky,Hotel RIKMAN Continental
74,Hobart,AU,77.05,-42.8794,147.3294,few clouds,Mantra on Collins Hobart
75,Mwanza,TZ,69.4,-2.5167,32.9,light rain,Gold Crest Hotel
76,Fort-De-France,MQ,78.75,14.6089,-61.0733,broken clouds,Patio Gallieni
77,Port Lincoln,AU,65.21,-34.7333,135.8667,overcast clouds,Port Lincoln Hotel
79,Graaff-Reinet,ZA,63.91,-32.2522,24.5308,scattered clouds,Rietjiesbos B&B
81,Atuona,PF,79.05,-9.8,-139.0333,broken clouds,Villa Enata
82,Harper,LR,78.91,4.375,-7.7169,clear sky,Screensaver
83,Sumbe,AO,76.68,-11.2061,13.8437,light rain,Hotel Ritz Sumbe
86,Ribeira Grande,PT,58.53,38.5167,-28.7,overcast clouds,Quinta da Meia Eira
87,Grand Gaube,MU,79.38,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
88,Kailua,US,78.78,21.4022,-157.7394,light rain,Sheffield House Bed & Breakfast
89,San Vicente De Canete,PE,66.94,-13.0751,-76.3835,few clouds,Hotel Konford
92,Queimadas,BR,70.95,-10.9783,-39.6264,overcast clouds,Hotel Mandala
96,Ilkal,IN,70.61,15.9667,76.1333,overcast clouds,Shri Annapurna Lodge
97,Ahipara,NZ,68.76,-35.1667,173.1667,light rain,Ahipara Holiday Park
99,Constitucion,CL,50.9,-35.3333,-72.4167,clear sky,Hotel Boutique Las Azucenas
100,Camana,PE,67.8,-16.6228,-72.7111,overcast clouds,Hostal Morales
106,Mar Del Plata,AR,63.88,-38.0023,-57.5575,overcast clouds,Gran Hotel Mar del Plata
107,Avarua,CK,73.45,-21.2078,-159.775,heavy intensity drizzle,Paradise Inn
109,Salcedo,PH,79.18,12.8105,121.4674,broken clouds,Yamaji Freeman Farm
112,Saldanha,ZA,60.85,-33.0117,17.9442,clear sky,Blue Bay Lodge
113,Chimore,BO,75.11,-16.9833,-65.1333,overcast clouds,Bichito
115,Santa Maria,BR,70.9,-29.6842,-53.8069,clear sky,Hotel Morotin
117,Nkhata Bay,MW,75.69,-11.6066,34.2907,scattered clouds,Mayoka Village
123,Puerto Escondido,MX,79.63,15.85,-97.0667,clear sky,Aldea del Bazar Hotel and Spa
125,Bethanien,,64.56,-26.502,17.1583,scattered clouds,Bethanie Hotel
127,Porto Walter,BR,73.67,-8.2686,-72.7439,overcast clouds,Secretaria de saúde
134,Guerrero Negro,MX,60.82,27.9769,-114.0611,overcast clouds,"Casa Laguna, Bed & Breakfast"
135,Sao Filipe,CV,74.95,14.8961,-24.4956,overcast clouds,Hotel Xaguate
136,Gweru,ZW,66.15,-19.45,29.8167,broken clouds,Suskwe Lodges
137,Anori,BR,73.8,-3.7728,-61.6442,light rain,Novo Hotel 5 Irmãos
141,Cidreira,BR,71.2,-30.1811,-50.2056,clear sky,Hotel Castelo
142,Bredasdorp,ZA,61.92,-34.5322,20.0403,overcast clouds,Bredasdorp Country Manor
144,Carballo,ES,51.91,43.213,-8.691,scattered clouds,Pazo do Souto
146,Carutapera,BR,79.43,-1.195,-46.02,scattered clouds,Lidera
147,Mitsamiouli,KM,79.09,-11.3847,43.2844,few clouds,Foyer ADM
151,Tezu,IN,70.14,27.9167,96.1667,clear sky,Circuit House
152,Quirinopolis,BR,73.58,-18.4483,-50.4517,overcast clouds,Rota Hotéis - Quirinópolis GO
153,Chuy,UY,65.32,-33.6971,-53.4616,light rain,Nuevo Hotel Plaza
155,Tecoanapa,MX,78.35,16.5167,-98.75,clear sky,Hotel Manglares
156,Te Anau,NZ,69.19,-45.4167,167.7167,moderate rain,Kingsgate Hotel Te Anau
158,Shingu,JP,54.59,33.7333,135.9833,clear sky,Shingu UI Hotel
161,Hermanus,ZA,62.91,-34.4187,19.2345,broken clouds,Misty Waves Boutique Hotel
162,Vila Franca Do Campo,PT,56.19,37.7167,-25.4333,overcast clouds,Pestana Bahia Praia
170,Leon,MX,55.45,21.1167,-101.6667,few clouds,ENTERPRISE INN POLIFORUM
172,Ponta Do Sol,PT,63.72,32.6667,-17.1,scattered clouds,Hotel do Campo
173,Pemba,MZ,79.5,-12.974,40.5178,broken clouds,Guesthouse Samotina
174,Puga,MX,68.77,21.5833,-104.8167,scattered clouds,Del sol
