City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kruisfontein,-34.0033,24.7314,72.88,70,46,11.32,ZA,2021-12-11 05:57:12
1,Ojinaga,29.5667,-104.4167,65.35,42,1,0.0,MX,2021-12-11 05:57:12
2,Ostrovnoy,68.0531,39.5131,23.59,76,100,32.66,RU,2021-12-11 05:57:13
3,Hobart,-42.8794,147.3294,63.01,55,20,1.01,AU,2021-12-11 05:57:13
4,Hermanus,-34.4187,19.2345,67.8,71,79,11.45,ZA,2021-12-11 05:57:14
5,Vaini,-21.2,-175.2,82.56,83,20,10.36,TO,2021-12-11 05:57:14
6,Khatanga,71.9667,102.5,-48.26,100,69,3.18,RU,2021-12-11 05:57:14
7,Severo-Kurilsk,50.6789,156.125,33.15,90,100,7.58,RU,2021-12-11 05:57:15
8,Kasangulu,-4.5911,15.1708,76.08,95,95,1.07,CD,2021-12-11 05:57:15
9,Rikitea,-23.1203,-134.9692,76.12,68,75,15.9,PF,2021-12-11 05:57:16
10,Charagua,-19.8,-63.2167,72.28,76,99,4.5,BO,2021-12-11 05:57:16
11,Upernavik,72.7868,-56.1549,-5.37,94,46,12.62,GL,2021-12-11 05:57:16
12,Klaksvik,62.2266,-6.589,43.72,82,54,18.92,FO,2021-12-11 05:57:17
13,Green River,41.5286,-109.4662,17.15,84,11,11.54,US,2021-12-11 05:57:17
14,Chuy,-33.6971,-53.4616,59.34,87,76,4.72,UY,2021-12-11 05:57:18
15,Bredasdorp,-34.5322,20.0403,67.28,67,80,8.52,ZA,2021-12-11 05:57:18
16,Alice Springs,-23.7,133.8833,90.95,15,0,5.75,AU,2021-12-11 05:57:19
17,Castro,-24.7911,-50.0119,56.14,74,59,2.91,BR,2021-12-11 05:57:19
18,Mataura,-46.1927,168.8643,56.48,51,91,6.78,NZ,2021-12-11 05:57:20
19,Ribeira Grande,38.5167,-28.7,64.24,81,4,16.13,PT,2021-12-11 05:57:20
20,Chute-Aux-Outardes,49.1168,-68.399,25.11,86,90,8.05,CA,2021-12-11 05:57:20
21,Victoria,22.2855,114.1577,75.38,68,18,8.01,HK,2021-12-11 05:57:21
22,Tricase,39.9304,18.3553,50.32,72,100,17.43,IT,2021-12-11 05:57:21
23,Pevek,69.7008,170.3133,-29.67,97,100,3.98,RU,2021-12-11 05:57:21
24,Jiaohe,43.7286,127.3447,28.99,86,100,2.24,CN,2021-12-11 05:57:22
25,Sancti Spiritus,21.9297,-79.4425,68.23,89,0,6.58,CU,2021-12-11 05:57:22
26,New Norfolk,-42.7826,147.0587,62.65,44,52,3.0,AU,2021-12-11 05:57:23
27,Kavieng,-2.5744,150.7967,80.49,84,100,13.2,PG,2021-12-11 05:57:23
28,Salalah,17.0151,54.0924,80.26,44,0,13.73,OM,2021-12-11 05:53:52
29,Ushuaia,-54.8,-68.3,46.06,87,40,14.97,AR,2021-12-11 05:57:24
30,Mount Gambier,-37.8333,140.7667,73.31,43,0,14.97,AU,2021-12-11 05:57:24
31,Butaritari,3.0707,172.7902,82.9,77,35,14.7,KI,2021-12-11 05:57:24
32,Iqaluit,63.7506,-68.5145,1.13,71,90,8.05,CA,2021-12-11 05:57:25
33,Hithadhoo,-0.6,73.0833,80.24,78,69,10.31,MV,2021-12-11 05:57:25
34,Mehamn,71.0357,27.8492,23.7,92,99,13.44,NO,2021-12-11 05:57:25
35,Port-Gentil,-0.7193,8.7815,78.76,94,90,8.05,GA,2021-12-11 05:57:26
36,Albany,42.6001,-73.9662,36.81,84,82,4.18,US,2021-12-11 05:57:26
37,Georgetown,5.4112,100.3354,89.53,66,20,5.99,MY,2021-12-11 05:54:07
38,Cape Town,-33.9258,18.4232,67.08,81,40,3.0,ZA,2021-12-11 05:57:26
39,Safaga,26.7292,33.9365,73.33,32,100,2.15,EG,2021-12-11 05:57:27
40,Sao Filipe,14.8961,-24.4956,73.47,70,88,10.92,CV,2021-12-11 05:57:27
41,Barrow,71.2906,-156.7887,-0.42,97,100,2.1,US,2021-12-11 05:57:28
42,Nelson Bay,-32.7167,152.15,70.11,65,98,4.0,AU,2021-12-11 05:57:28
43,Port Alfred,-33.5906,26.891,72.34,83,10,15.39,ZA,2021-12-11 05:57:29
44,Vila Franca Do Campo,37.7167,-25.4333,63.19,84,36,9.06,PT,2021-12-11 05:57:29
45,Dawson Creek,55.7666,-120.2362,33.44,55,1,17.27,CA,2021-12-11 05:57:29
46,San Patricio,28.017,-97.5169,76.05,90,90,13.38,US,2021-12-11 05:58:30
47,Talkha,31.0539,31.3779,59.83,73,0,3.53,EG,2021-12-11 05:58:30
48,Keningau,5.3378,116.1602,77.45,91,99,3.11,MY,2021-12-11 05:58:31
49,Mar Del Plata,-38.0023,-57.5575,65.88,90,0,20.0,AR,2021-12-11 05:58:31
50,La Ronge,55.1001,-105.2842,5.25,92,40,1.14,CA,2021-12-11 05:58:31
51,Dolores,-36.3132,-57.6792,64.47,81,77,6.76,AR,2021-12-11 05:58:32
52,Mahebourg,-20.4081,57.7,82.69,65,40,13.8,MU,2021-12-11 05:58:32
53,Korla,41.7597,86.1469,29.95,47,2,8.46,CN,2021-12-11 05:58:32
54,Henties Bay,-22.116,14.2845,57.85,84,82,4.74,NA,2021-12-11 05:58:33
55,Pyay,18.8167,95.2167,87.08,51,0,2.53,MM,2021-12-11 05:58:33
56,Koslan,63.4564,48.8989,6.42,94,75,6.31,RU,2021-12-11 05:58:34
57,Chokurdakh,70.6333,147.9167,-48.5,100,80,2.98,RU,2021-12-11 05:58:34
58,Thompson,55.7435,-97.8558,5.16,72,20,13.8,CA,2021-12-11 05:58:34
59,Atuona,-9.8,-139.0333,78.22,76,95,16.4,PF,2021-12-11 05:58:35
60,Lavrentiya,65.5833,-171.0,-11.87,83,62,7.72,RU,2021-12-11 05:58:35
61,Puerto Ayora,-0.7393,-90.3518,68.31,93,80,9.28,EC,2021-12-11 05:58:36
62,Dikson,73.5069,80.5464,-13.11,82,100,2.59,RU,2021-12-11 05:58:36
63,Gizo,-8.103,156.8419,83.82,80,100,17.05,SB,2021-12-11 05:58:37
64,Busselton,-33.65,115.3333,69.04,47,63,16.31,AU,2021-12-11 05:58:37
65,Mayo,38.8876,-76.5119,50.41,92,90,6.91,US,2021-12-11 05:58:37
66,Trinidad,-14.8333,-64.9,74.23,97,96,3.69,BO,2021-12-11 05:58:38
67,Camacari,-12.6975,-38.3242,80.37,85,99,7.18,BR,2021-12-11 05:58:38
68,Uarini,-2.99,-65.1083,73.62,99,100,1.28,BR,2021-12-11 05:58:38
69,Esperance,-33.8667,121.9,73.24,61,15,14.43,AU,2021-12-11 05:58:38
70,Egvekinot,66.3167,-179.1667,-23.67,81,25,6.49,RU,2021-12-11 05:58:39
71,Longyearbyen,78.2186,15.6401,31.84,80,75,16.11,SJ,2021-12-11 05:58:39
72,Kamenka,51.3223,42.7678,28.74,74,10,7.63,RU,2021-12-11 05:58:40
73,Smiltene,57.4244,25.9016,34.81,96,100,10.74,LV,2021-12-11 05:58:40
74,Cockburn Town,21.4612,-71.1419,80.37,70,1,20.51,TC,2021-12-11 05:58:41
75,Kapaa,22.0752,-159.319,76.12,59,98,4.0,US,2021-12-11 05:58:41
76,Nikolskoye,59.7035,30.7861,20.39,79,98,11.27,RU,2021-12-11 05:58:41
77,Tasiilaq,65.6145,-37.6368,30.79,69,100,26.98,GL,2021-12-11 05:58:42
78,Pailon,-17.65,-62.75,77.9,77,81,5.5,BO,2021-12-11 05:58:42
79,Muli,2.9167,73.5667,82.54,76,20,13.35,MV,2021-12-11 05:58:43
80,Ugoofaaru,5.6667,73.0,83.07,75,4,16.28,MV,2021-12-11 05:58:43
81,Iwaki,37.05,140.8833,61.02,49,3,3.0,JP,2021-12-11 05:58:43
82,Pandua,23.0833,88.2833,80.47,43,0,6.93,IN,2021-12-11 05:58:44
83,Takoradi,4.8845,-1.7554,78.64,84,21,4.41,GH,2021-12-11 05:58:44
84,Nantucket,41.2835,-70.0995,48.31,93,90,6.91,US,2021-12-11 05:58:45
85,Astana,51.1801,71.446,13.95,62,0,6.71,KZ,2021-12-11 05:58:45
86,Catamarca,-28.4696,-65.7852,70.48,89,16,5.3,AR,2021-12-11 05:58:45
87,Witu,-2.3889,40.4382,80.96,75,77,8.28,KE,2021-12-11 05:58:46
88,Kutum,14.2,24.6667,62.29,34,4,5.19,SD,2021-12-11 05:58:46
89,Digby,44.6169,-65.7655,44.11,93,100,9.06,CA,2021-12-11 05:58:47
90,Kodiak,57.79,-152.4072,22.53,66,61,21.97,US,2021-12-11 05:58:47
91,Yeppoon,-23.1333,150.7333,82.18,67,22,13.04,AU,2021-12-11 05:58:47
92,Andenes,69.3143,16.1194,31.98,80,90,8.05,NO,2021-12-11 05:58:48
93,Palizada,18.25,-92.0833,75.27,77,5,10.2,MX,2021-12-11 05:59:49
94,Bluff,-46.6,168.3333,56.8,56,60,14.43,NZ,2021-12-11 05:59:49
95,Mortka,59.3322,66.0214,9.32,89,9,8.75,RU,2021-12-11 05:59:49
96,Awjilah,29.1081,21.2869,52.7,78,49,1.39,LY,2021-12-11 05:59:50
97,Khasan,42.4308,130.6434,38.16,65,78,2.15,RU,2021-12-11 05:59:50
98,Torbay,47.6666,-52.7314,19.38,82,40,6.91,CA,2021-12-11 05:59:51
99,Mitsamiouli,-11.3847,43.2844,82.69,65,20,9.22,KM,2021-12-11 05:59:51
100,Wilmington,34.2257,-77.9447,60.98,95,75,0.0,US,2021-12-11 05:59:51
101,Sungaipenuh,-2.0833,101.3833,74.08,84,97,2.66,ID,2021-12-11 05:59:52
102,Sanford,28.8006,-81.2731,68.29,79,10,3.53,US,2021-12-11 05:58:45
103,Puerto Leguizamo,-0.1934,-74.7819,72.19,94,76,0.31,CO,2021-12-11 05:59:52
104,Bengkulu,-3.8004,102.2655,82.09,73,100,4.76,ID,2021-12-11 05:59:53
105,Yellowknife,62.456,-114.3525,-7.71,87,75,10.36,CA,2021-12-11 05:59:53
106,Doha,25.2867,51.5333,71.58,68,0,6.91,QA,2021-12-11 05:59:54
107,San Rafael Del Sur,11.8485,-86.4384,72.57,74,17,11.9,NI,2021-12-11 05:59:54
108,Thinadhoo,0.5333,72.9333,81.19,74,90,2.42,MV,2021-12-11 05:59:54
109,Saint-Philippe,-21.3585,55.7679,85.55,69,54,8.01,RE,2021-12-11 05:59:55
110,Arraial Do Cabo,-22.9661,-42.0278,72.09,85,98,5.75,BR,2021-12-11 05:59:55
111,Vestmannaeyjar,63.4427,-20.2734,40.68,95,100,48.7,IS,2021-12-11 05:59:55
112,Riyadh,24.6877,46.7219,51.94,35,38,3.67,SA,2021-12-11 05:55:32
113,Qaqortoq,60.7167,-46.0333,18.95,76,100,3.69,GL,2021-12-11 05:59:56
114,Geraldton,-28.7667,114.6,77.41,47,40,18.41,AU,2021-12-11 05:58:04
115,Kabalo,-6.05,26.9167,75.88,84,62,2.57,CD,2021-12-11 05:59:57
116,East London,-33.0153,27.9116,72.54,88,40,10.36,ZA,2021-12-11 05:59:57
117,Ponta Do Sol,32.6667,-17.1,64.0,67,37,8.19,PT,2021-12-11 05:59:57
118,Deputatskiy,69.3,139.9,-17.12,99,100,0.85,RU,2021-12-11 05:59:58
119,Punta Arenas,-53.15,-70.9167,50.11,71,75,13.8,CL,2021-12-11 05:59:58
120,Mokhsogollokh,61.4681,128.9203,-11.51,100,99,1.59,RU,2021-12-11 05:59:59
121,Matai,-8.3,31.5167,73.27,44,68,10.27,TZ,2021-12-11 05:59:59
122,Kaniama,-7.5667,24.1833,71.89,89,100,2.55,CD,2021-12-11 05:59:59
123,Calama,-22.4667,-68.9333,49.55,46,7,2.84,CL,2021-12-11 06:00:00
124,Coquimbo,-29.9533,-71.3436,62.33,72,90,2.3,CL,2021-12-11 06:00:00
125,Okhotsk,59.3833,143.3,-9.76,83,65,8.7,RU,2021-12-11 06:00:01
126,Rey Bouba,8.6724,14.1786,71.76,27,90,1.14,CM,2021-12-11 06:00:01
